"% GICC05-U/Th timescale difference from Adolphi et al. (2018) CPD, figure 12"					
"% The time scale differences are given in: dt = U/Th-GICC05, (yrs)"					
%					
% correspondence to: Florian.Adolphi@geol.lu.se					
					
yrBP (1950)	dt (yrs)	CI68_lo	CI68_up	CI95_lo	CI95_up
13850	52	26	75	-1	98
13900	56	28	78	0	104
13950	57	30	83	0	109
14000	58	32	87	0	115
14050	60	33	91	0	120
14100	63	35	95	0	125
14150	67	36	99	0	130
14200	71	37	103	1	136
14250	76	39	108	1	141
14300	81	41	112	1	147
14350	80	42	117	1	152
14400	77	44	121	1	158
14450	82	45	125	1	163
14500	90	47	129	1	168
14550	94	48	133	1	173
14600	97	50	136	0	179
14650	97	51	141	0	184
14700	96	52	145	1	190
14750	101	54	150	1	195
14800	107	56	154	1	199
14850	111	57	158	1	205
14900	115	58	161	2	211
14950	113	60	166	1	215
15000	110	62	170	-1	219
15050	113	63	174	0	224
15100	117	65	178	1	230
15150	121	65	183	1	235
15200	125	66	187	0	241
15250	129	69	190	1	246
15300	132	72	193	3	251
15350	136	75	198	4	255
15400	140	77	202	5	259
15450	143	78	206	4	264
15500	145	80	210	2	270
15550	149	80	215	2	275
15600	152	81	219	2	280
15650	155	83	222	2	285
15700	158	85	225	3	289
15750	162	87	228	6	294
15800	165	90	232	9	300
15850	168	91	236	8	305
15900	171	93	239	6	309
15950	174	91	244	8	316
16000	177	89	249	12	323
16050	179	92	252	13	326
16100	182	98	255	14	328
16150	185	101	258	13	332
16200	187	104	261	12	336
16250	189	106	265	14	340
16300	191	107	268	17	344
16350	194	109	272	18	349
16400	196	112	276	19	353
16450	199	115	280	19	357
16500	201	118	284	20	361
16550	205	121	288	22	365
16600	208	123	292	25	369
16650	211	124	295	26	374
16700	214	125	298	27	380
16750	216	128	301	27	383
16800	219	131	304	26	385
16850	222	134	307	27	388
16900	225	137	310	29	391
16950	228	139	313	31	393
17000	231	141	316	33	395
17050	235	144	320	37	398
17100	238	148	326	42	401
17150	241	151	330	43	406
17200	243	154	333	42	411
17250	247	157	337	46	414
17300	250	160	340	50	417
17350	254	164	342	53	419
17400	257	168	344	55	422
17450	260	171	346	55	424
17500	263	174	349	56	426
17550	267	177	353	58	428
17600	271	180	356	61	431
17650	273	181	359	63	435
17700	276	183	362	66	439
17750	279	185	365	69	443
17800	282	187	367	72	446
17850	285	191	369	72	449
17900	288	195	372	71	451
17950	292	198	377	73	454
18000	295	201	383	76	457
18050	298	202	385	78	460
18100	301	202	386	80	463
18150	303	206	388	81	466
18200	306	212	391	82	469
18250	309	215	395	83	473
18300	313	217	398	85	476
18350	317	219	401	83	481
18400	320	222	404	81	487
18450	324	224	409	83	489
18500	327	227	413	86	491
18550	331	228	415	88	493
18600	335	229	417	90	495
18650	338	233	420	90	496
18700	342	238	424	91	498
18750	346	243	427	97	504
18800	350	248	430	105	512
18850	353	251	433	110	511
18900	357	254	436	113	509
18950	360	259	439	113	510
19000	362	263	443	112	513
19050	365	267	446	114	515
19100	369	270	448	116	517
19150	372	273	451	117	519
19200	376	276	454	118	522
19250	378	276	456	118	524
19300	381	276	458	118	526
19350	385	283	461	119	528
19400	388	292	464	121	531
19450	391	293	466	127	533
19500	394	291	468	134	535
19550	397	297	470	133	535
19600	400	304	473	131	535
19650	403	309	478	136	538
19700	407	314	482	142	541
19750	410	317	485	144	544
19800	412	320	488	146	546
19850	415	323	491	148	546
19900	418	327	493	150	547
19950	421	331	495	152	549
20000	425	335	498	155	551
20050	429	338	500	157	553
20100	433	340	503	158	556
20150	436	344	506	160	558
20200	440	350	510	162	561
20250	443	354	513	162	563
20300	446	357	516	163	564
20350	450	360	519	165	566
20400	454	363	521	167	568
20450	457	366	523	168	572
20500	459	369	526	170	577
20550	463	372	529	168	578
20600	466	375	531	166	579
20650	470	378	534	166	583
20700	473	381	537	166	588
20750	476	384	540	171	591
20800	478	387	543	178	594
20850	481	390	546	179	593
20900	484	392	549	180	592
20950	488	385	551	182	594
21000	491	377	554	185	597
21050	494	373	557	191	599
21100	496	371	560	197	601
21150	499	374	561	199	604
21200	502	379	563	200	607
21250	505	382	565	199	611
21300	508	385	567	197	614
21350	511	389	568	199	619
21400	513	393	570	202	623
21450	516	395	572	201	627
21500	519	396	575	199	630
21550	522	397	577	202	633
21600	524	398	580	206	635
21650	527	402	583	206	640
21700	529	406	585	205	647
21750	531	408	587	205	650
21800	533	409	589	206	652
21850	534	411	592	206	656
21900	536	414	595	206	661
21950	537	416	598	206	664
22000	538	417	600	206	667
22050	539	417	600	208	666
22100	540	418	601	211	664
22150	541	417	602	213	662
22200	542	416	603	214	660
22250	542	416	603	212	658
22300	542	415	604	210	657
22350	542	414	605	210	655
22400	542	412	607	212	653
22450	542	412	609	211	655
22500	542	411	611	209	658
22550	541	422	612	206	660
22600	540	435	613	202	661
22650	539	438	613	200	662
22700	538	439	613	198	663
22750	537	439	613	200	664
22800	536	438	613	203	666
22850	534	435	614	202	668
22900	533	431	615	200	671
22950	532	428	617	197	674
23000	531	425	619	195	676
23050	529	420	617	187	678
23100	528	416	615	176	681
23150	526	412	615	182	683
23200	524	409	616	193	686
23250	521	405	617	187	690
23300	517	401	619	176	696
23350	515	397	619	177	699
23400	513	393	620	180	702
23450	511	386	619	179	706
23500	509	378	618	177	710
23550	507	375	620	172	712
23600	506	373	622	166	713
23650	505	370	621	164	715
23700	504	366	619	162	718
23750	503	365	621	161	721
23800	502	365	623	159	724
23850	501	362	623	151	729
23900	501	359	624	141	735
23950	501	352	625	142	737
24000	500	345	626	146	739
24050	498	343	628	143	740
24100	497	342	630	139	742
24150	496	338	632	138	745
24200	495	332	635	138	749
24250	495	326	635	130	754
24300	494	319	635	120	759
24350	494	321	634	116	763
24400	494	324	632	114	767
24450	493	319	633	111	769
24500	492	312	635	109	770
24550	490	311	636	104	775
24600	487	312	637	100	781
24650	484	308	635	94	784
24700	481	303	632	87	787
24750	480	302	633	81	789
24800	480	303	635	75	790
24850	479	300	639	76	794
24900	478	296	643	78	799
24950	475	292	642	75	803
25000	471	288	640	72	806
25050	469	285	640	66	809
25100	467	283	642	60	811
25150	466	274	641	54	812
25200	465	262	640	48	813
25250	465	262	642	48	816
25300	466	264	645	49	820
25350	464	263	646	37	826
25400	463	261	647	23	832
25450	461	257	647	23	834
25500	459	251	648	27	836
25550	458	249	653	29	837
25600	458	248	660	30	838
25650	458	247	660	24	841
25700	458	245	659	16	845
25750	458	241	657	13	847
25800	459	236	655	11	848
25850	458	235	657	8	848
25900	458	234	661	5	849
25950	460	230	660	1	853
26000	461	224	658	-3	857
26050	463	224	657	-15	857
26100	464	226	658	-29	856
26150	462	216	658	-25	859
26200	460	204	658	-17	863
26250	458	204	658	-25	872
26300	456	207	658	-38	882
26350	452	206	658	-39	884
26400	448	204	659	-38	883
26450	447	203	662	-39	887
26500	447	201	666	-41	893
26550	448	199	666	-43	889
26600	449	197	664	-46	883
26650	447	194	664	-53	893
26700	445	190	665	-61	906
26750	445	187	669	-63	903
26800	445	185	674	-62	896
26850	444	182	671	-66	901
26900	442	179	667	-70	909
26950	440	178	665	-73	905
27000	439	177	664	-75	898
27050	435	170	665	-86	904
27100	431	161	667	-100	912
27150	430	157	667	-99	915
27200	428	155	667	-95	916
27250	428	147	675	-94	920
27300	428	139	686	-93	925
27350	429	142	690	-101	925
27400	429	149	693	-110	924
27450	430	142	695	-113	934
27500	432	133	697	-115	947
27550	430	136	693	-118	950
27600	428	143	688	-121	952
27650	426	138	685	-127	946
27700	424	130	683	-134	939
27750	424	132	690	-141	942
27800	424	137	701	-148	946
27850	422	129	697	-153	945
27900	420	117	689	-158	943
27950	419	120	691	-156	952
28000	419	127	696	-152	964
28050	416	122	690	-154	968
28100	412	115	682	-157	970
28150	411	114	690	-160	968
28200	410	115	703	-163	966
28250	409	115	704	-165	970
28300	409	114	702	-166	976
28350	408	111	695	-168	977
28400	407	107	686	-171	976
28450	404	101	693	-177	974
28500	401	94	704	-184	971
28550	399	100	700	-191	968
28600	398	108	693	-199	965
28650	397	100	694	-203	975
28700	396	87	698	-205	988
28750	393	82	701	-208	986
28800	391	80	703	-212	979
28850	389	79	701	-217	982
28900	387	79	698	-223	987
28950	388	83	701	-223	985
29000	389	88	706	-222	981
29050	389	84	704	-220	985
29100	389	77	701	-218	991
29150	388	74	707	-228	999
29200	387	72	715	-240	1008
29250	384	66	715	-241	1004
29300	382	59	713	-239	997
29350	379	57	709	-245	997
29400	376	56	703	-253	999
29450	373	57	703	-258	995
29500	369	58	705	-262	991
29550	369	54	704	-259	1002
29600	370	49	702	-255	1016
29650	368	54	710	-256	1011
29700	366	62	719	-259	1001
29750	367	57	711	-260	1003
29800	370	50	699	-261	1008
29850	374	47	695	-262	1011
29900	377	45	692	-263	1013
29950	380	40	697	-268	1006
30000	383	33	705	-274	998
30050	381	38	714	-277	999
30100	377	45	725	-280	1002
30150	376	38	713	-285	1007
30200	375	28	696	-290	1012
30250	374	29	690	-287	1009
30300	374	32	688	-282	1004
30350	375	31	696	-283	1004
30400	376	29	707	-286	1005
30450	377	24	701	-296	1013
30500	378	20	691	-308	1022
30550	379	18	693	-307	1015
30600	381	16	699	-303	1004
30650	379	18	702	-317	1015
30700	376	21	704	-335	1032
30750	377	17	700	-332	1025
30800	379	10	695	-324	1013
30850	377	16	698	-323	1015
30900	374	24	704	-325	1020
30950	374	26	709	-320	1022
31000	375	25	714	-313	1024
31050	368	20	712	-313	1026
31100	360	14	708	-315	1029
31150	359	12	704	-321	1021
31200	359	11	701	-329	1011
31250	358	11	702	-326	1013
31300	357	11	705	-320	1018
31350	358	10	704	-335	1022
31400	360	9	702	-356	1026
31450	361	7	699	-345	1024
31500	363	4	696	-327	1020
31550	362	0	687	-330	1014
31600	362	-4	676	-339	1008
31650	361	-2	683	-333	1022
31700	360	2	694	-323	1041
31750	363	-3	698	-322	1031
31800	367	-11	701	-324	1014
31850	364	-8	701	-330	1013
31900	359	-1	699	-338	1016
31950	359	0	697	-348	1015
32000	360	1	695	-360	1014
32050	356	2	693	-360	1020
32100	351	4	691	-357	1027
32150	354	-1	685	-344	1018
32200	359	-7	678	-330	1006
32250	359	-11	687	-333	1008
32300	359	-14	700	-341	1015
32350	358	-13	697	-345	1014
32400	356	-11	690	-347	1012
32450	356	-11	693	-343	1011
32500	355	-12	699	-337	1010
32550	352	-13	696	-346	1010
32600	348	-15	690	-359	1010
32650	347	-12	691	-354	1004
32700	346	-8	694	-344	996
32750	348	-9	692	-342	998
32800	349	-11	690	-341	1003
32850	346	-14	682	-337	1003
32900	342	-18	672	-333	1002
32950	340	-15	673	-338	1006
33000	340	-9	676	-345	1011
33050	338	-14	675	-346	1000
33100	336	-22	673	-345	985
33150	336	-20	671	-355	980
33200	337	-14	669	-368	978
33250	335	-10	676	-373	982
33300	332	-6	685	-377	987
33350	328	-13	681	-365	988
33400	324	-23	673	-349	987
33450	325	-20	669	-346	987
33500	326	-13	667	-347	986
33550	326	-22	664	-349	979
33600	326	-34	660	-352	970
33650	326	-31	660	-352	964
33700	327	-25	662	-351	959
33750	326	-23	658	-345	956
33800	325	-22	652	-338	954
33850	325	-16	649	-337	954
33900	325	-9	646	-339	954
33950	327	-15	645	-345	960
34000	329	-24	644	-353	967
34050	331	-27	650	-347	969
34100	332	-29	658	-338	970
34150	332	-25	649	-339	963
34200	332	-21	637	-342	955
34250	330	-19	640	-333	945
34300	329	-18	646	-320	934
34350	329	-13	643	-319	932
34400	330	-7	637	-322	932
34450	330	-7	629	-329	933
34500	330	-9	620	-337	935
34550	329	-13	617	-339	937
34600	327	-17	616	-338	940
34650	325	-18	614	-327	936
34700	323	-19	612	-313	929
34750	323	-21	616	-316	930
34800	322	-23	620	-324	932
34850	320	-23	621	-318	939
34900	317	-24	620	-309	947
34950	315	-26	618	-319	937
35000	313	-29	616	-334	923
35050	308	-28	611	-336	914
35100	303	-26	605	-335	907
35150	300	-31	606	-335	907
35200	298	-38	609	-334	909
35250	294	-30	608	-327	906
35300	289	-19	606	-319	902
35350	287	-13	603	-323	894
35400	285	-7	599	-330	886
35450	283	-8	596	-322	890
35500	280	-11	594	-311	897
35550	279	-15	596	-311	897
35600	280	-20	599	-313	896
35650	279	-25	596	-310	892
35700	278	-30	592	-307	887
35750	274	-31	591	-307	887
35800	270	-30	591	-309	889
35850	267	-24	589	-319	882
35900	265	-17	586	-332	874
35950	265	-25	583	-325	871
36000	266	-37	580	-313	870
36050	264	-27	574	-311	866
36100	262	-13	568	-310	861
36150	263	-12	574	-310	855
36200	265	-15	582	-309	849
36250	267	-16	586	-303	847
36300	269	-17	589	-296	846
36350	269	-11	577	-293	844
36400	268	-3	562	-291	841
36450	269	-1	558	-290	838
36500	270	0	556	-289	835
36550	270	1	559	-283	834
36600	270	2	563	-275	834
36650	270	4	558	-282	827
36700	269	6	551	-294	819
36750	267	4	549	-287	823
36800	265	1	550	-276	830
36850	266	-5	547	-272	828
36900	268	-12	543	-270	824
36950	269	-13	545	-268	820
37000	269	-13	548	-266	816
37050	267	-16	549	-266	805
37100	265	-19	548	-267	793
37150	263	-14	544	-272	789
37200	262	-7	538	-279	788
37250	262	-3	538	-277	794
37300	262	-1	539	-273	802
37350	259	-2	536	-272	794
37400	255	-3	533	-271	781
37450	257	1	538	-270	786
37500	260	7	546	-268	795
37550	260	-2	540	-268	788
37600	259	-14	530	-267	777
37650	261	-18	528	-267	783
37700	263	-20	527	-267	793
37750	263	-26	526	-276	796
37800	262	-34	524	-288	798
37850	262	-22	522	-282	796
37900	264	-5	520	-272	794
37950	263	-4	519	-273	793
38000	262	-8	519	-276	793
38050	260	-9	520	-272	784
38100	258	-10	521	-266	773
38150	257	-12	517	-266	769
38200	255	-15	511	-268	766
38250	255	-13	510	-267	764
38300	255	-9	509	-265	763
38350	255	-8	510	-265	759
38400	254	-8	511	-265	755
38450	256	-7	503	-273	749
38500	257	-6	494	-283	743
38550	255	-13	494	-276	742
38600	251	-21	497	-265	741
38650	249	-18	499	-263	739
38700	248	-12	502	-262	737
38750	245	-9	499	-264	734
38800	243	-7	495	-266	732
38850	243	-7	495	-265	738
38900	243	-8	497	-263	747
38950	241	-11	489	-261	742
39000	239	-14	480	-259	733
39050	237	-11	484	-259	730
39100	236	-6	492	-259	729
39150	235	-7	483	-260	722
39200	236	-10	469	-262	714
39250	236	-12	471	-259	706
39300	235	-15	478	-255	699
39350	235	-11	472	-255	697
39400	235	-7	463	-256	696
39450	233	-8	466	-256	695
39500	231	-10	473	-256	694
39550	231	-5	469	-254	692
39600	231	2	462	-251	690
39650	231	-3	458	-251	685
39700	230	-10	455	-252	681
39750	230	-8	456	-254	676
39800	230	-5	459	-256	672
39850	228	-4	454	-250	673
39900	227	-4	447	-243	676
39950	227	-6	445	-246	673
40000	227	-9	443	-252	669
40050	228	-7	444	-254	667
40100	228	-4	445	-256	665
40150	229	-5	442	-256	666
40200	229	-7	438	-257	668
40250	229	-5	439	-257	661
40300	228	-2	441	-258	653
40350	229	-2	437	-255	647
40400	230	-3	433	-252	641
40450	229	-4	431	-253	637
40500	229	-5	430	-255	633
40550	228	-5	430	-253	633
40600	228	-5	429	-251	634
40650	227	-11	432	-251	629
40700	225	-19	436	-250	623
40750	226	-13	439	-261	623
40800	227	-5	441	-275	625
40850	227	-4	438	-281	623
40900	227	-5	434	-284	621
40950	228	-7	431	-283	616
41000	229	-10	429	-281	610
41050	229	-13	433	-282	611
41100	229	-16	439	-285	614
41150	230	-19	442	-286	614
41200	231	-21	445	-286	613
41250	232	-20	445	-288	613
41300	234	-19	445	-291	612
41350	234	-21	444	-292	610
41400	235	-24	442	-293	608
41450	237	-27	450	-299	608
41500	238	-29	460	-307	609
41550	239	-27	464	-309	610
41600	240	-25	467	-308	611
41650	241	-26	467	-308	612
41700	242	-28	468	-309	614
41750	242	-28	470	-309	614
41800	243	-29	473	-310	613
41850	244	-57	475	-315	615
41900	245	-91	477	-322	618
41950	245	-99	479	-337	616
42000	244	-101	482	-355	614
42050	244	-101	480	-349	610
42100	244	-101	478	-337	606
42150	244	-73	475	-336	608
42200	243	-38	472	-338	612
42250	241	-33	471	-331	612
42300	239	-36	472	-323	610
42350	236	-40	469	-318	616
42400	234	-44	466	-315	624
42450	232	-43	459	-314	618
42500	230	-40	452	-314	609
42550	227	-40	451	-318	607
42600	225	-41	451	-323	608
42650	222	-40	449	-320	612
42700	220	-39	447	-316	617
42750	218	-43	442	-317	616
42800	215	-48	435	-320	613
42850	214	-47	435	-318	624
42900	213	-45	436	-315	638
42950	211	-51	435	-319	638
43000	209	-60	434	-326	634
43050	208	-60	434	-321	636
43100	206	-58	434	-313	639
43150	203	-55	432	-313	647
43200	199	-53	430	-316	655
43250	197	-53	435	-318	657
43300	196	-54	441	-320	658
43350	195	-54	442	-321	662
43400	194	-54	441	-323	668
43450	194	-54	443	-323	675
43500	195	-55	445	-322	682
43550	194	-56	448	-322	685
43600	193	-57	451	-321	688
43650	194	-61	453	-335	692
43700	196	-66	455	-352	696
43750	196	-71	459	-356	697
43800	196	-76	463	-357	698
43850	198	-79	466	-356	716
43900	200	-81	469	-354	739
43950	201	-87	470	-358	732
44000	200	-95	470	-364	718
44050	202	-88	468	-375	721
44100	203	-77	465	-388	728
44150	203	-77	469	-386	734
44200	204	-80	475	-381	740
44250	205	-83	475	-380	739
44300	207	-86	474	-379	737
44350	206	-91	482	-392	744
44400	205	-95	492	-408	753
44450	206	-97	497	-414	756
44500	208	-98	501	-417	758
44550	209	-104	499	-410	768
44600	209	-111	496	-400	780
44650	210	-114	497	-407	791
44700	212	-117	499	-419	802
44750	209	-119	501	-428	810
44800	205	-122	504	-437	818
44850	204	-122	506	-441	820
44900	204	-121	509	-444	821
44950	203	-130	508	-448	821
45000	202	-141	506	-453	820
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
